Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,6206547590.07403,5621147630.73068,7228795918.92525,7867263256.28817,7978515641.58304,8874480195.58321,9349921885.77888,10642671963.1135,11060395115.6809,13426272073.2398,15354612541.5059,15420077665.5323,17386490239.3536,18360263162.7578,18860496494.0404,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Albania,ALB,6153077235.62289,6698469429.12028,7008501111.79519,7382282996.75923,7771053341.65332,8169772250.74253,8661509309.89701,9224515436.60112,9861658465.33864,10127011190.7491,10428102872.2706,10685000942.5337,10790155229.5092,10974367815.094,11220218560.8998,11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Algeria,DZA,109811551032.426,113105897561.895,119213616030.237,126962501072.943,132675813620.929,139840307556.055,143895676473.864,148356442446.405,152065353506.518,153890137748.132,161276864361.482,166115170291.39,170101934378.955,174524584673.849,181680092643.147,187493855609.345,194806115978.439,197728207716.082,200496402625.853,202300870247.92,192185826737.373
GDP (constant 2015 US$),NY.GDP.MKTP.KD,American Samoa,ASM,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,656560305.343511
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Andorra,AND,2240767147.05822,2422703047.4382,2532847903.3358,2753058859.8714,2977038818.11546,3137733299.91171,3288617126.51463,3339695537.72761,3154035638.64466,2986781968.80057,2927794279.37554,2927558013.5968,2781928287.88297,2683236696.87851,2750437434.80254,2789882569.1005,2893378230.93931,2903391399.65727,2949519480.26811,3008968450.49925,2672447226.31612
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Angola,AGO,35182758019.6959,36662544314.034,41672733511.8008,43125991915.3832,48050921277.9001,54852422288.0144,61347946235.7733,69324828859.446,76802645840.5628,78335311067.8479,82482120582.925,85446420441.9715,92712034533.3955,97239220009.2494,101766409287.849,102543067840.732,100799291837.039,100648701499.631,100050434318.105,99845650843.2744,95809443080.1137
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,1195677311.61138,1141296594.96992,1153020391.45654,1223085251.30795,1293621842.2095,1377366902.51519,1552404719.92894,1697014056.19323,1696776362.25323,1493793051.15554,1376672104.84443,1349706641.55924,1395234173.14327,1386849062.30615,1417336052.73314,1437485185.18519,1496714858.20258,1537316639.9839,1640501407.75149,1692541753.29144,1373179832.3414
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Armenia,ARM,3959424772.65728,4339529550.80371,4912347451.42022,5600076094.6952,6188084084.57212,7048227772.27278,7978593838.17516,9071661194.12856,9697605816.5624,8330243396.35924,8513508751.09706,8913643662.28574,9555426006.05632,9870755064.25618,10226102246.6276,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Aruba,ABW,2545966267.78226,2652438618.61234,2627374307.5502,2656551420.08012,2850313056.72604,2839392433.63397,2871404069.44201,2960117372.63583,3014457880.39871,2662437285.4367,2589660712.61171,2676912524.28603,2649051221.82866,2819423912.92302,2859631679.07374,2962906703.91061,2999478909.44476,3104263601.09893,3203987172.7481,3243239612.14075,2468170539.29889
