reporter,partner,trade_value,year
ALB,AFG,99163.0,2002
ALB,AUT,747668.0,2002
ALB,BEL,26215.0,2002
ALB,BIH,73774.0,2002
ALB,BGR,98088.0,2002
ALB,CAN,15923.0,2002
ALB,CHN,6575.0,2002
ALB,COL,5535.0,2002
ALB,HRV,118509.0,2002
ALB,CYP,53166.0,2002
ALB,CZE,421246.0,2002
ALB,DNK,204384.0,2002
ALB,DMA,36896.0,2002
ALB,FRA,2083933.0,2002
ALB,DEU,18310729.0,2002
ALB,GRC,42386237.0,2002
ALB,HKG,605.0,2002
ALB,HUN,73902.0,2002
ALB,ISL,7747.0,2002
ALB,IRN,20112.0,2002
ALB,IRL,411.0,2002
ALB,ISR,4.0,2002
ALB,ITA,236832597.0,2002
ALB,JPN,41910.0,2002
ALB,KWT,2031.0,2002
ALB,LBY,10445.0,2002
ALB,MYS,914.0,2002
ALB,MLT,774848.0,2002
ALB,MEX,128.0,2002
ALB,MAR,120978.0,2002
ALB,NLD,396180.0,2002
ALB,NOR,1092.0,2002
ALB,PAN,1239526.0,2002
ALB,POL,63531.0,2002
ALB,ROU,59323.0,2002
ALB,RUS,37085.0,2002
ALB,SAU,180815.0,2002
ALB,SGP,4130.0,2002
ALB,SVK,16934.0,2002
ALB,SVN,436666.0,2002
ALB,ESP,898539.0,2002
ALB,SWE,949917.0,2002
ALB,CHE,538041.0,2002
ALB,SYR,12929.0,2002
ALB,TJK,61260.0,2002
ALB,TUR,3408201.0,2002
ALB,UKR,39391.0,2002
ALB,MKD,4969178.0,2002
ALB,GBR,1430310.0,2002
ALB,USA,5431052.0,2002
ALB,SCG,7492724.0,2002
DZA,AFG,116.0,2002
DZA,ALB,185567.0,2002
DZA,AGO,29869.0,2002
DZA,ATG,5172.0,2002
DZA,ARG,24975899.0,2002
DZA,AUS,36988949.0,2002
DZA,AUT,14752.0,2002
DZA,BHS,12136.0,2002
DZA,BRB,5463.0,2002
DZA,BEL,469533950.0,2002
DZA,BRA,910472237.0,2002
DZA,BGR,672497.0,2002
DZA,BDI,6771409.0,2002
DZA,KHM,5.0,2002
DZA,CAN,927694173.0,2002
DZA,CPV,7686011.0,2002
DZA,CHN,77466749.0,2002
DZA,COL,571.0,2002
DZA,HRV,24276320.0,2002
DZA,CUB,48570.0,2002
DZA,CYP,89305.0,2002
DZA,CZE,713103.0,2002
DZA,BEN,24668137.0,2002
DZA,DNK,54968.0,2002
DZA,ECU,12509840.0,2002
DZA,FIN,2213698.0,2002
DZA,FRA,2554279119.0,2002
DZA,GAB,4585666.0,2002
DZA,DEU,426244951.0,2002
DZA,GHA,4039.0,2002
DZA,GRC,64076812.0,2002
DZA,GTM,2674614.0,2002
DZA,HTI,96089.0,2002
DZA,HND,30304.0,2002
DZA,HKG,262700.0,2002
DZA,HUN,848.0,2002
