iso3c,year,gdp_const_2015_usd
AFG,2000,6206547590.07403
ALB,2000,6153077235.62289
DZA,2000,109811551032.426
ASM,2000,..
AND,2000,2240767147.05822
AGO,2000,35182758019.6959
ATG,2000,1195677311.61138
ARG,2000,395646066535.875
ARM,2000,3959424772.65728
ABW,2000,2545966267.78226
AUS,2000,874926744105.928
AUT,2000,309014800203.266
AZE,2000,12110978466.342
BHS,2000,10500261525.9051
BHR,2000,16199663949.4689
BGD,2000,83492876905.7611
BRB,2000,5640486570.73121
BLR,2000,26100310412.7168
BEL,2000,367797580320.048
BLZ,2000,1363800371.11261
BEN,2000,6219354272.65514
BMU,2000,6739895068.97791
BTN,2000,751822818.964787
BOL,2000,17334777888.1262
BIH,2000,10679552177.5993
BWA,2000,8491986059.02571
BRA,2000,1186418964121.03
VGB,2000,..
BRN,2000,12244033143.1515
BGR,2000,30376118589.1044
BFA,2000,5107828181.20084
BDI,2000,1709130260.41104
CPV,2000,923550525.289887
KHM,2000,7459479704.67578
CMR,2000,17168567484.5749
CAN,2000,1163199675162.51
CYM,2000,..
CAF,2000,1675850364.88825
TCD,2000,4516519365.60565
CHI,2000,..
CHL,2000,131243743563.397
CHN,2000,2825096197799.54
COL,2000,157016818928.93
COM,2000,616936089.242142
COD,2000,17148631280.919
COG,2000,6482377234.59307
CRI,2000,30425018574.4757
CIV,2000,30406072178.2268
HRV,2000,39679727338.7054
CUB,2000,45683563278.5995
CUW,2000,2881155232.956
CYP,2000,15534986805.8031
CZE,2000,128638858401.092
DNK,2000,263066798869.213
DJI,2000,..
DMA,2000,471328095.603734
DOM,2000,35393522990.4108
ECU,2000,50165491738.8835
EGY,2000,179683172290.026
SLV,2000,17621447036.1716
GNQ,2000,2699948863.55525
ERI,2000,1899038769.45137
EST,2000,13979307068.9028
SWZ,2000,2367182799.34336
ETH,2000,16684709707.888
FRO,2000,..
FJI,2000,3330747234.58964
FIN,2000,196036503503.623
FRA,2000,2025858476151.37
PYF,2000,5407300957.95024
GAB,2000,9689372094.82624
GMB,2000,960226283.311822
GEO,2000,6365211520.66238
DEU,2000,2885963533943.47
GHA,2000,20074507180.6623
GIB,2000,..
GRC,2000,194535950663.831
GRL,2000,1776741578.35367
GRD,2000,717463922.03278
GUM,2000,..
